Revenue,Margin,Orders,Units,Recency
458,50.0,1,1,997
1586,47.0,1,3,1019
4415,1677.0,5,8,1919
17263,3633.0,11,13,3972
6832,858.0,1,10,971
2063,604.0,1,1,693
1492,503.0,1,1,714
553,52.0,1,1,726
2924,1143.0,1,1,699
2487,457.0,1,1,706
549,58.0,1,1,732
2437,546.0,1,2,752
4509,1514.0,2,6,751
528,68.0,1,1,699
1739,271.0,1,3,776
30234,9156.0,11,24,3908
1212,375.0,1,1,747
593,46.0,1,2,746
3177,274.0,1,5,705
103938,32589.0,22,155,1912
1659,152.0,1,3,728
3096,626.0,2,4,768
327,36.0,1,1,724
8556,3418.0,3,8,1956
808,40.0,2,2,718
2527,869.0,1,1,763
2183,0.0,2,3,1653
8381,2470.0,4,12,724
996,279.0,1,1,726
2686,772.0,1,2,699
58079,15687.0,16,76,3792
1240,489.0,1,1,728
20065,4649.0,3,31,717
3083,255.0,1,7,749
961,144.0,1,1,734
2362,126.0,3,4,701
2059,597.0,2,2,1270
37374,9340.0,12,41,3820
553,44.0,1,1,747
4292,568.0,6,9,1874
5721,1271.0,4,5,1320
3151,1178.0,4,4,1940
11447,1144.0,2,20,698
11248,1395.0,4,14,1373
9705,2161.0,3,12,1263
7065,2021.0,7,10,1891
646,133.0,1,1,732
2256,524.0,2,2,1386
1587,69.0,1,1,977
3940,286.0,2,8,1326
2876,176.0,5,6,1989
1861,389.0,2,3,1433
1381,487.0,1,1,697
1755,436.0,1,2,692
2601,797.0,2,2,696
3437,584.0,3,3,723
1178,0.0,1,2,692
24501,6227.0,17,39,2460
28789,4350.0,11,48,2493
26462,3657.0,5,55,3287
842,106.0,1,1,694
2402,255.0,2,3,1211
1427,465.0,2,2,1385
7557,2164.0,3,9,1362
755,59.0,1,2,726
878,219.0,1,1,742
675,68.0,1,1,717
2138,298.0,2,2,719
7458,1346.0,3,12,1242
726,231.0,1,1,707
566,155.0,1,1,1046
2895,1315.0,2,2,768
3259,1024.0,1,2,711
12355,3772.0,6,9,1943
922,142.0,2,2,1372
1460,149.0,2,2,1375
5303,2213.0,2,3,1226
740,23.0,1,2,755
14130,913.0,2,56,1321
862,112.0,2,2,1332
7511,2013.0,4,9,1337
7207,2570.0,2,4,1901
1214,489.0,1,1,728
650,147.0,1,1,710
635,40.0,1,2,720
9218,1914.0,2,10,1389
457,37.0,1,1,766
2808,415.0,2,2,1277
1164,357.0,1,1,749
11273,3252.0,1,12,689
12445,2800.0,5,10,1854
3314,916.0,3,3,1263
98465,31509.0,12,75,2773
664,194.0,1,1,711
2070,502.0,1,2,697
3317,1230.0,2,2,1287
7677,2490.0,1,7,724
73599,14303.0,3,63,1342
4163,469.0,3,13,1310
3797,1472.0,2,3,1379
1542,685.0,1,1,693
5141,153.0,1,12,764
886,295.0,1,1,705
14905,3682.0,7,10,3113
1137,0.0,1,2,693
562,71.0,1,1,761
782,130.0,1,1,703
2642,1011.0,1,3,710
4049,888.0,3,3,717
48802,13652.0,29,39,1911
1302,219.0,1,1,755
33979,5223.0,7,28,1926
15663,5200.0,7,10,1385
1225,192.0,1,1,767
2104,682.0,1,1,986
29577,7572.0,11,24,3888
1619,584.0,1,2,712
1980,267.0,1,1,713
1766,337.0,1,1,759
27502,6404.0,1,45,720
1831,363.0,1,1,730
21781,2285.0,5,25,1345
650,147.0,1,1,705
2006,454.0,1,2,752
4203,903.0,5,5,1912
6399,2762.0,2,3,722
2132,782.0,1,1,986
1476,183.0,1,1,699
3243,1100.0,3,3,1937
8529,1706.0,3,8,1857
379,77.0,1,1,731
496,60.0,1,1,725
1378,30.0,1,1,718
2197,67.0,1,4,741
1236,109.0,1,1,724
1918,765.0,1,1,727
661,288.0,1,1,706
13066,2102.0,4,10,2735
6918,1428.0,3,9,1288
13898,1857.0,3,14,1281
6442,722.0,5,8,1930
23526,5996.0,10,16,1894
15687,5697.0,2,2,1412
12571,4629.0,7,15,1865
1285,321.0,1,1,712
5906,662.0,2,9,1401
6436,2352.0,3,5,1322
663,131.0,1,1,706
277221,86801.0,17,152,6111
2362,321.0,1,1,727
3016,389.0,2,2,1318
5053,1440.0,3,4,1946
774,193.0,1,1,771
6781,1925.0,4,4,1908
1657,319.0,1,1,766
580,115.0,1,1,762
838,0.0,1,1,690
1234,349.0,1,1,747
2439,259.0,1,2,710
10140,3231.0,6,9,2345
1765,239.0,1,1,725
1336,429.0,2,2,712
1773,357.0,1,1,733
6872,1506.0,1,15,728
8550,2282.0,3,5,1927
1147,243.0,1,2,756
30518,11410.0,10,45,1922
2813,817.0,1,2,712
3901,116.0,8,9,1925
595,145.0,1,1,713
803,254.0,1,1,993
953,28.0,1,2,692
14980,1206.0,1,25,705
1539,500.0,2,2,1373
2019,512.0,2,3,743
991,215.0,2,2,1277
1381,30.0,2,2,761
1992,35.0,1,3,749
5582,2087.0,3,7,1888
1166,0.0,1,1,702
482,69.0,1,1,725
6359,2447.0,4,4,2513
805,215.0,1,1,703
727,49.0,1,1,732
5058,1379.0,5,5,1865
896,59.0,1,2,693
4246,1397.0,4,5,1385
873,243.0,1,1,728
5684,589.0,1,5,770
1006,231.0,1,1,727
7182,1709.0,2,6,1303
12106,3607.0,3,12,1938
1844,718.0,1,1,977
1570,431.0,1,1,723
18279,2320.0,9,16,1938
13867,3833.0,6,10,719
27987,10853.0,10,19,1937
2514,686.0,2,2,1388
1183,0.0,1,1,691
610,0.0,1,1,689
3930,0.0,1,1,690
10961,3620.0,1,5,740
2409,432.0,1,1,693
2209,771.0,1,3,1013
674,0.0,1,1,692
15553,2154.0,1,29,740
2389,932.0,1,2,739
3900,0.0,1,6,689
1534,283.0,2,3,710
3119,533.0,2,3,731
1950,672.0,1,2,712
3483,1507.0,1,3,754
1045,272.0,1,1,765
571,5.0,1,1,707
2342,771.0,1,1,1032
149597,43050.0,7,93,1919
9094,2921.0,1,11,754
823,102.0,1,1,700
553,52.0,1,1,698
1205,352.0,1,1,703
1066,196.0,2,2,1259
1760,0.0,1,1,688
1465,54.0,1,1,698
3761,1040.0,3,7,1990
913,111.0,2,2,707
154884,53051.0,18,120,4076
1189,521.0,1,1,1028
1858,428.0,1,2,719
2583,1139.0,1,2,754
1096,383.0,1,1,713
4761,542.0,2,6,1350
529,78.0,1,1,731
8830,666.0,2,11,734
6266,2516.0,2,2,719
6965,276.0,4,5,2823
1550,552.0,1,1,762
631,22.0,1,1,698
562,99.0,1,1,999
500,33.0,1,1,705
531,48.0,1,1,720
616,48.0,1,1,710
792,59.0,1,2,699
1588,0.0,1,1,689
9315,2054.0,3,7,1285
8638,914.0,3,4,1283
1469,2.0,1,1,711
804,107.0,2,2,1324
