Company Name,Revenue,Margin,Orders,Units,Recency
0,458,50,1,1,997
Customer1,1586,47,1,3,1019
Customer10,4415,1677,5,8,1919
Customer100,17263,3633,11,13,3972
Customer1000,6832,858,1,10,971
Customer10000,2063,604,1,1,693
Customer10001,1492,503,1,1,714
Customer10002,553,52,1,1,726
Customer10003,2924,1143,1,1,699
Customer10004,2487,457,1,1,706
Customer10005,549,58,1,1,732
Customer10006,2437,546,1,2,752
Customer10007,4509,1514,2,6,751
Customer10008,528,68,1,1,699
Customer10009,1739,271,1,3,776
Customer1001,30234,9156,11,24,3908
Customer10010,1212,375,1,1,747
Customer10011,593,46,1,2,746
Customer10012,3177,274,1,5,705
Customer10013,103938,32589,22,155,1912
Customer10014,1659,152,1,3,728
Customer10015,3096,626,2,4,768
Customer10016,327,36,1,1,724
Customer10017,8556,3418,3,8,1956
Customer10018,808,40,2,2,718
Customer10019,2527,869,1,1,763
Customer1002,2183,0,2,3,1653
Customer10020,8381,2470,4,12,724
Customer10021,996,279,1,1,726
Customer10022,2686,772,1,2,699
Customer10023,58079,15687,16,76,3792
Customer10024,1240,489,1,1,728
Customer10025,20065,4649,3,31,717
Customer10026,3083,255,1,7,749
Customer10027,961,144,1,1,734
Customer10028,2362,126,3,4,701
Customer10029,2059,597,2,2,1270
Customer1003,37374,9340,12,41,3820
Customer10030,553,44,1,1,747
Customer10031,4292,568,6,9,1874
Customer10032,5721,1271,4,5,1320
Customer10033,3151,1178,4,4,1940
Customer10034,11447,1144,2,20,698
Customer10035,11248,1395,4,14,1373
Customer10036,9705,2161,3,12,1263
Customer10037,7065,2021,7,10,1891
Customer10038,646,133,1,1,732
Customer10039,2256,524,2,2,1386
Customer1004,1587,69,1,1,977
Customer10040,3940,286,2,8,1326
Customer10041,2876,176,5,6,1989
Customer10042,1861,389,2,3,1433
Customer10043,1381,487,1,1,697
Customer10044,1755,436,1,2,692
Customer10045,2601,797,2,2,696
Customer10046,3437,584,3,3,723
Customer10047,1178,0,1,2,692
Customer10048,24501,6227,17,39,2460
Customer10049,28789,4350,11,48,2493
Customer1005,26462,3657,5,55,3287
Customer10050,842,106,1,1,694
Customer10051,2402,255,2,3,1211
Customer10052,1427,465,2,2,1385
Customer10053,7557,2164,3,9,1362
Customer10054,755,59,1,2,726
Customer10055,878,219,1,1,742
Customer10056,675,68,1,1,717
Customer10057,2138,298,2,2,719
Customer10058,7458,1346,3,12,1242
Customer10059,726,231,1,1,707
Customer1006,566,155,1,1,1046
Customer10060,2895,1315,2,2,768
Customer10061,3259,1024,1,2,711
Customer10062,12355,3772,6,9,1943
Customer10063,922,142,2,2,1372
Customer10064,1460,149,2,2,1375
Customer10065,5303,2213,2,3,1226
Customer10066,740,23,1,2,755
Customer10067,14130,913,2,56,1321
Customer10068,862,112,2,2,1332
Customer10069,7511,2013,4,9,1337
Customer1007,7207,2570,2,4,1901
Customer10070,1214,489,1,1,728
Customer10071,650,147,1,1,710
Customer10072,635,40,1,2,720
Customer10073,9218,1914,2,10,1389
Customer10074,457,37,1,1,766
Customer10075,2808,415,2,2,1277
Customer10076,1164,357,1,1,749
Customer10077,11273,3252,1,12,689
Customer10078,12445,2800,5,10,1854
Customer10079,3314,916,3,3,1263
Customer1008,98465,31509,12,75,2773
Customer10080,664,194,1,1,711
Customer10081,2070,502,1,2,697
Customer10082,3317,1230,2,2,1287
Customer10083,7677,2490,1,7,724
Customer10084,73599,14303,3,63,1342
Customer10085,4163,469,3,13,1310
Customer10086,3797,1472,2,3,1379
Customer10087,1542,685,1,1,693
Customer10088,5141,153,1,12,764
Customer10089,886,295,1,1,705
Customer1009,14905,3682,7,10,3113
Customer10090,1137,0,1,2,693
Customer10091,562,71,1,1,761
Customer10092,782,130,1,1,703
Customer10093,2642,1011,1,3,710
Customer10094,4049,888,3,3,717
Customer10095,48802,13652,29,39,1911
Customer10096,1302,219,1,1,755
Customer10097,33979,5223,7,28,1926
Customer10098,15663,5200,7,10,1385
Customer10099,1225,192,1,1,767
Customer101,2104,682,1,1,986
Customer1010,29577,7572,11,24,3888
Customer10100,1619,584,1,2,712
Customer10101,1980,267,1,1,713
Customer10102,1766,337,1,1,759
Customer10103,27502,6404,1,45,720
Customer10104,1831,363,1,1,730
Customer10105,21781,2285,5,25,1345
Customer10106,650,147,1,1,705
Customer10107,2006,454,1,2,752
Customer10108,4203,903,5,5,1912
