Company Name,Revenue
Customer1525,440491
Customer106,407164
Customer2685,380449
Customer11236,376314
Customer304,357826
Customer1074,354760
Customer2179,329434
Customer4156,321737
Customer517,319387
Customer3931,317028
Customer1586,309538
Customer8128,293016
Customer3910,287644
Customer13515,282579
Customer1013,277221
Customer772,270315
Customer8871,269346
Customer1659,267304
Customer2730,250105
Customer1448,242094
Customer684,240894
Customer594,230494
Customer3169,222421
Customer854,207957
Customer11931,206403
Customer2849,204143
Customer2052,201606
Customer168,193949
Customer1614,193180
Customer1570,193136
Customer6109,188086
Customer14553,188075
Customer9140,188055
Customer8522,185345
Customer995,183965
Customer5523,183663
Customer3707,183468
Customer1939,179426
Customer643,179050
Customer76,175448
Customer5007,174069
Customer1919,173569
Customer1285,173160
Customer4732,171542
Customer1262,170780
Customer3839,170181
Customer1499,167179
Customer8666,164915
Customer105,162553
