Company Name,Revenue,Margin,Orders,Units,Recency
Customer2685,380449,74092,17,580,2992
Customer11236,376314,91498,151,575,1176
Customer8871,269346,62590,105,480,1917
Customer13515,282579,64404,6,455,1200
Customer1525,440491,101681,57,452,4732
Customer1133,126626,2646,10,405,1921
Customer1074,354760,127485,91,360,4693
Customer2179,329434,91091,26,319,3663
Customer2971,127815,12496,12,319,3663
Customer2052,201606,64917,149,304,4583
Customer3169,222421,41213,110,294,11495
Customer5007,174069,30809,12,271,2704
Customer8522,185345,7954,2,269,707
Customer106,407164,173475,14,267,4641
Customer1586,309538,67527,12,253,4147
Customer483,141516,15829,13,252,4108
Customer304,357826,25766,140,250,4497
Customer1570,193136,65641,73,246,8644
Customer3910,287644,81611,23,243,3624
Customer6858,84636,44,3,242,1346
Customer517,319387,33917,117,238,3505
Customer3728,126375,6998,41,233,3621
Customer4156,321737,185777,8,230,2907
Customer8128,293016,63468,3,230,749
Customer17061,124134,21071,2,225,564
Customer3920,129813,22256,91,220,4176
Customer11931,206403,51166,3,213,655
Customer4275,152902,24824,31,213,2419
Customer594,230494,60963,45,208,3476
Customer854,207957,37202,2,208,1695
Customer3816,65771,6054,8,206,3612
Customer2228,88260,4495,12,194,5793
Customer1448,242094,63899,35,191,11812
Customer5128,58986,1009,4,187,1988
Customer3236,139975,22849,5,183,1636
Customer1285,173160,34907,3,182,1904
Customer4576,68950,8412,5,182,2130
Customer919,114266,22022,18,182,4703
Customer1446,81999,9582,3,181,2375
Customer2730,250105,51061,64,180,4609
Customer120,130255,15951,8,179,4158
Customer105,162553,43355,19,174,4748
Customer1614,193180,44877,59,172,6454
Customer1659,267304,76070,13,170,4502
Customer8666,164915,46444,21,170,1396
Customer1568,106078,20035,21,169,4682
Customer6109,188086,74035,18,168,3353
Customer2590,125284,23064,8,167,3736
Customer915,129500,25497,19,161,4739
Customer10385,63230,18439,6,159,1224
