Company Name,Revenue,Margin,Orders,Units,Recency
Customer11236,376314,91498,151,575,1176
Customer2052,201606,64917,149,304,4583
Customer304,357826,25766,140,250,4497
Customer517,319387,33917,117,238,3505
Customer3169,222421,41213,110,294,11495
Customer8871,269346,62590,105,480,1917
Customer2849,204143,45688,104,134,3681
Customer1074,354760,127485,91,360,4693
Customer3920,129813,22256,91,220,4176
Customer6262,148258,45978,76,120,13002
Customer1570,193136,65641,73,246,8644
Customer2689,36053,5573,71,85,3677
Customer1939,179426,82894,66,82,4619
Customer2730,250105,51061,64,180,4609
Customer1919,173569,19336,63,120,3012
Customer1614,193180,44877,59,172,6454
Customer5054,133586,16596,59,127,2791
Customer1525,440491,101681,57,452,4732
Customer3234,30899,5592,54,70,3686
Customer4308,71687,23107,53,94,3640
Customer1271,90470,28315,50,82,11518
Customer959,69286,27050,48,73,8642
Customer6423,82916,20832,46,103,2715
Customer9458,71776,10558,46,49,1899
Customer2087,76513,19408,45,59,12309
Customer594,230494,60963,45,208,3476
Customer171,68865,19165,44,47,4143
Customer3362,158219,69265,44,106,3632
Customer5640,120167,36295,43,155,1984
Customer5746,150937,47527,43,133,2751
Customer3070,144956,30363,41,124,4555
Customer3728,126375,6998,41,233,3621
Customer4496,77359,19035,41,130,3640
Customer3687,57727,14369,40,61,3682
Customer4394,69937,26869,40,70,5619
Customer5907,124854,23068,40,88,2747
Customer971,42445,13012,40,48,4634
Customer362,56909,12465,39,48,7298
Customer5366,22015,1278,39,44,2711
Customer1499,167179,47745,37,140,4685
Customer1895,83965,7139,36,62,2908
Customer4012,64934,15595,36,72,8607
Customer1448,242094,63899,35,191,11812
Customer3147,49185,13466,35,55,3635
Customer4525,46276,13701,35,43,22180
Customer4849,44721,10058,35,66,3423
Customer617,62066,15842,35,71,16756
Customer10248,37826,2706,34,86,1926
Customer5147,85903,21901,34,149,2785
